state,state_code,year,co2_intensity_gco2_kwh,co2_intensity_weighted,total_generation_gwh,coal_pct,gas_pct,hydro_pct,solar_pct,wind_pct,nuclear_pct,bioenergy_pct,other_fossil_pct,other_renewables_pct,fossil_pct,clean_pct,data_source
Lakshadweep,LD,2024,818.84,818.91,66.79,99.86,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,99.86,0.14,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Bihar,BR,2024,815.14,815.09,60983.74,99.33,0.0,0.02,0.48,0.0,0.0,0.17,0.0,0.0,99.33,0.67,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Jharkhand,JH,2024,814.58,814.47,39252.13,99.32,0.0,0.64,0.04,0.0,0.0,0.0,0.0,0.0,99.32,0.68,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Chhattisgarh,CT,2024,806.01,805.9,167859.4,97.99,0.0,0.29,0.84,0.0,0.0,0.88,0.0,0.0,97.99,2.01,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
West Bengal,WB,2024,782.95,782.07,97154.39,95.31,0.0,2.9,0.27,0.0,0.0,0.0,0.0,1.52,95.31,4.69,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Haryana,HR,2024,769.88,769.41,32456.58,92.86,0.66,0.76,4.3,0.0,0.0,1.26,0.0,0.17,93.52,6.49,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Uttar Pradesh,UP,2024,764.86,764.52,172204.82,92.2,0.73,0.74,2.67,0.0,2.1,1.53,0.0,0.02,92.93,7.06,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Odisha,OR,2024,739.71,737.87,75821.49,89.86,0.0,9.02,1.03,0.0,0.0,0.1,0.0,0.0,89.86,10.15,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Madhya Pradesh,MP,2024,729.91,728.72,165155.83,88.59,0.0,4.76,3.65,2.85,0.0,0.12,0.0,0.03,88.59,11.41,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Punjab,PB,2024,685.13,682.49,41114.22,82.34,0.0,12.1,3.17,0.0,0.0,2.4,0.0,0.0,82.34,17.67,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Telangana,TG,2024,679.88,677.72,69769.83,82.07,0.0,7.22,9.8,0.42,0.0,0.14,0.0,0.34,82.07,17.92,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Maharashtra,MH,2024,658.97,657.98,170996.97,77.27,3.38,3.42,4.06,4.61,5.08,2.12,0.0,0.05,80.65,19.34,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Andhra Pradesh,AP,2024,654.8,653.43,90639.26,79.06,0.04,3.48,8.8,8.18,0.0,0.1,0.0,0.34,79.1,20.9,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Andaman and Nicobar,AN,2024,629.7,583.79,404.43,0.0,0.0,3.83,6.81,0.0,0.0,0.0,89.36,0.0,89.36,10.64,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Assam,AS,2024,586.55,584.01,9628.87,49.97,35.2,11.64,3.19,0.0,0.0,0.0,0.0,0.01,85.17,14.84,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Tamil Nadu,TN,2024,493.19,491.71,129682.18,58.08,1.39,3.57,11.16,12.87,12.5,0.44,0.0,0.0,59.47,40.54,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Gujarat,GJ,2024,492.12,490.5,153613.18,55.08,6.4,4.02,11.31,16.04,7.11,0.03,0.0,0.0,61.48,38.51,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Tripura,TR,2024,489.5,489.51,5226.43,0.0,99.89,0.0,0.11,0.0,0.0,0.0,0.0,0.0,99.89,0.11,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Puducherry,PY,2024,465.07,464.63,216.74,0.0,94.35,0.0,5.65,0.0,0.0,0.0,0.0,0.0,94.35,5.65,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Rajasthan,RJ,2024,437.99,435.32,127371.45,50.61,0.7,0.74,36.15,5.52,5.98,0.31,0.0,0.0,51.31,48.7,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Delhi,DL,2024,421.04,418.72,4983.44,0.0,84.65,0.0,4.14,0.0,0.0,0.0,0.0,11.2,84.65,15.34,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Karnataka,KA,2024,394.41,390.45,95775.15,45.72,0.0,14.31,16.08,13.33,7.98,2.59,0.0,0.0,45.72,54.29,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Dadra and Nagar Haveli and Daman and Diu,DH,2024,129.0,125.01,28.76,0.0,0.0,0.0,55.55,0.0,0.0,44.45,0.0,0.0,0.0,100.0,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Uttarakhand,UT,2024,57.63,39.44,16893.04,0.0,6.46,90.1,1.96,0.0,0.0,1.47,0.0,0.0,6.46,93.53,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Chandigarh,CH,2024,48.39,41.0,9.3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Goa,GA,2024,46.74,38.38,65.25,0.0,0.0,0.0,87.53,0.0,0.0,0.0,0.0,12.47,0.0,100.0,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Kerala,KL,2024,28.92,11.46,9253.46,0.0,0.0,80.97,16.88,1.25,0.0,0.41,0.02,0.47,0.02,99.98,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Mizoram,MZ,2024,25.22,5.9,340.95,0.0,0.0,94.86,5.14,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Manipur,MN,2024,24.32,4.48,638.7,0.0,0.0,98.69,1.31,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Himachal Pradesh,HP,2024,24.05,4.07,42841.77,0.0,0.0,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Arunachal Pradesh,AR,2024,24.01,4.01,4297.15,0.0,0.0,99.97,0.03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Jammu and Kashmir,JK,2024,24.0,4.0,15940.66,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Ladakh,LA,2024,24.0,4.0,414.61,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Meghalaya,ML,2024,24.0,4.0,1020.27,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Sikkim,SK,2024,24.0,4.0,1988.31,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
Nagaland,NL,2024,23.99,4.0,314.28,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"Ember - India Yearly Full Release (Long Format), 2024. https://ember-energy.org/data/ | License: CC BY 4.0"
